,userid,boardSize,condition,boardType,solvedCorrect,validated_correct,timeSolution,timeValidation,actionsSolution,actionsValidation,timestamp,AssignmentId,WorkerId,bonus
0,15b2249e,10,full,medium,False,False,94034,18913,8,0,1558190000000.0,3MRNMEIQW6DDG3SCM98OVH3Y1V5LDT,AY5OS6NZWVX22,0.0
1,1df22596,6,pruned,easy,True,True,89862,32067,7,3,1558190000000.0,3XXU1SWE8N22L00ED6V37W34DUXA07,A1PAY3X73PQ16S,1.0
2,9cf22841,6,pruned,easy,False,False,275932,99550,33,0,1558190000000.0,36ZN444YTS52UZBVRFPREVN5O5IIO9,A1ZI4VU6650Q8B,0.0
3,aca229a6,10,full,easy,False,False,571463,106651,115,0,1558200000000.0,3B1NLC6UG036J8H1GR23IJFFJXOPG7,A3HE29W5IDR394,0.0
4,d5b22aaa,10,full,easy,False,False,569102,66395,115,0,1558200000000.0,3OSWBBLG1F48GX910SBC6BYL84IDXA,A28JANGJRFGGAZ,0.0
5,c5e22eb3,10,full,hard,True,True,60857,54013,15,7,1558200000000.0,3EFE17QCRDCHWWS4SEOFYOWRLH6SHN,A3FAF93BMDJLAL,1.0
6,ecb22d03,10,full,hard,True,True,288423,48530,56,5,1558200000000.0,34BBWHLWHBIAZ8KXI1G1VP0RR7LIWP,A2QWTQ4I70BRWO,1.0
7,8bc22e79,10,full,easy,True,True,370925,17325,70,4,1558200000000.0,3EG49X351VJ9VOUMQ53Y05OTRIU6XA,A28IFWT5CR33RZ,1.0
8,2bd232b2,10,full,hard,False,False,57634,34415,11,0,1558200000000.0,32Z9ZLUT1MR2Y40BLX76EJMQOSFOHY,A3B43EHV3X455M,0.0
9,9ad23291,6,full,easy,True,True,143775,52206,21,8,1558200000000.0,3H7XDTSHKDYW3HE2SDGYADNBCUPGWR,A2ZBDSR2LZNVAE,1.0
10,16a2336c,6,pruned,easy,True,False,63490,6192,9,0,1558200000000.0,3634BBTX0P18OMY2SC61R1ERW4RFIK,A1YSYI926BBOHW,0.0
11,fed230fb,10,pruned,easy,False,False,106694,49870,12,0,1558200000000.0,3J4Q2Z4UTZANG68GV9LA4RRDIH9WQD,A2766O35JUD7LO,0.0
12,5ee23430,6,pruned,easy,True,True,341929,17409,80,3,1558200000000.0,3QAVNHZ3ENBFIWP02ZHM5GVSGS8LAR,A1BM57TUNAQIXM,1.0
13,59f235f8,10,pruned,easy,True,True,112155,28632,7,3,1558200000000.0,3MB8LZR5BG0LU9YMEQUBZUYOL4FKLI,A16KMPWYUZO0M6,1.0
14,bbc23545,6,full,easy,False,False,355643,39594,43,0,1558200000000.0,3E7TUJ2EGDTIF1R3XC5YQ8C311OD9O,A44GF72UX2T66,0.0
15,69f239f6,6,pruned,easy,False,False,207579,187940,28,0,1558200000000.0,3EO896NRAX2E22095EWQK68S0S0JTK,A3DUZ6WCFZRLX9,0.0
16,39a23ae7,10,full,easy,True,False,603083,172845,67,10,1558200000000.0,3DR23U6WE6L6RMEHRDLZNQV0VK7ETX,A3D2GO0IFRFN6R,0.0
17,f7b241ec,10,pruned,easy,True,True,83469,44699,6,3,1558200000000.0,31QNSG6A5S02KN7J17WYQK7WVK3871,A3P4253DFNPWIB,1.0
18,f7e242af,10,pruned,easy,False,False,45691,20240,35,0,1558200000000.0,3IFS6Q0HJJQHSR3OYW60Y0X6LULIS6,A2581F7TDPAMBQ,0.0
19,7af24207,6,full,easy,True,False,558838,97870,116,16,1558200000000.0,3HOSI13XH0VUIR4K9SA0C4VTSMNDDP,A33UVS8TAJCHSN,0.0
20,4bb243a6,10,full,hard,True,False,277207,57969,41,6,1558200000000.0,3FK0YFF9P0N26P4SRYAOOC77S1ZVVB,A25D8MUZP7CQEY,0.0
21,caa248ea,6,full,easy,False,False,27200,13552,4,0,1558200000000.0,3X0H8UUIT2VZTMNTNDAFZR6E065WSF,A2E3TO92MCQ9XU,0.0
22,fbc2482b,6,full,easy,True,True,140772,49941,13,4,1558200000000.0,3ZAK8W07I5LM09ECJBCU7XFYKYB0UX,A3IRT5NAX14OIT,1.0
23,dec24cb0,10,full,easy,False,False,573446,71582,69,0,1558200000000.0,33TIN5LC05HLDCMUT8SC3TM4JQEY93,A1PHDT66U6IK4Q,0.0
24,bdf2527a,10,full,medium,True,False,214456,44923,23,4,1558210000000.0,3IHR8NYAM88Q7SOHLQ029UICTU3P4C,A10HN5H1OV4VDW,0.0
25,b6b25181,10,full,easy,False,False,603183,36702,35,0,1558210000000.0,33TIN5LC05HLDCMUT8SC3TM4JR19Y3,A1YGF0LJJGB30G,0.0
26,bac25238,10,full,hard,True,True,316126,102414,35,10,1558210000000.0,3IXQG4FA2U5P04TJJGESVIO3YIC9BH,AOER0SPVGJQAM,1.0
