run,node,numNodesRollouts,board,numNodes,correct
0,18,8347,6_easy_full,20002,0
1,24,16814,6_easy_full,20002,1
2,24,8511,6_easy_full,20004,1
3,6,2361,6_easy_full,20001,0
4,24,8296,6_easy_full,20001,1
5,26,15149,6_easy_full,20000,0
6,26,22226,6_easy_full,20003,0
7,24,9870,6_easy_full,20004,1
8,12,8295,6_easy_full,20000,1
9,18,3732,6_easy_full,20002,0
10,12,8182,6_easy_full,20003,1
11,3,7660,6_easy_full,20005,0
12,18,8088,6_easy_full,20000,0
13,26,21124,6_easy_full,20001,0
14,24,8993,6_easy_full,20005,1
15,26,20584,6_easy_full,20001,0
16,26,20633,6_easy_full,20001,0
17,11,8434,6_easy_full,20001,0
18,30,14487,6_easy_full,20001,0
19,24,7992,6_easy_full,20002,1
20,36,4545,6_easy_full,20000,0
21,24,8350,6_easy_full,20000,1
22,24,9259,6_easy_full,20005,1
23,24,9457,6_easy_full,20002,1
24,35,3853,6_easy_full,20002,0
25,33,9138,6_easy_full,20003,0
26,24,7975,6_easy_full,20000,1
27,24,9127,6_easy_full,20000,1
28,24,8166,6_easy_full,20004,1
29,26,21653,6_easy_full,20001,0
30,24,7780,6_easy_full,20003,1
31,24,8730,6_easy_full,20003,1
32,18,7590,6_easy_full,20001,0
33,3,7572,6_easy_full,20007,0
34,24,8112,6_easy_full,20002,1
35,30,11567,6_easy_full,20004,0
36,18,4797,6_easy_full,20003,0
37,12,7648,6_easy_full,20002,1
38,11,9236,6_easy_full,20002,0
39,24,8403,6_easy_full,20004,1
40,26,22234,6_easy_full,20001,0
41,30,13286,6_easy_full,20003,0
42,24,8523,6_easy_full,20001,1
43,30,12788,6_easy_full,20002,0
44,32,4579,6_easy_full,20000,0
45,34,4776,6_easy_full,20001,0
46,12,8282,6_easy_full,20001,1
47,29,23379,6_easy_full,20001,0
48,5,3581,6_easy_full,20000,0
49,24,7890,6_easy_full,20003,1
